name,newprice,oldprice,stock,warranty,data,productlink
"Samsung M80D LS32DM801UUXEN Smart Monitor and 32 Inch and 4K AI Upscaling and UHD and 60 Hz and 360 Audio Mode and Includes Webcam and Screen with Speakers and Height Adjustment and Smart TV Apps with Remote Control","21499","25999","In Stock","ضمــــــان ثلاث سنــــوات","ضمــــــان ثلاث سنــــواتSamsung M80D Smart Monitor 32-Inch (LS32DM801UUXEN) Specifications:Key Features:
        Height-adjustable Smart AI monitor with built-in speakers and pivot function.
        UHD resolution with 4K AI upscaling for fluid and razor-sharp images at 60 Hz refresh rate.Smart Capabilities:
        Easy wireless access to PC files and IoT device control via Smart Hub.
        Access a variety of streaming services with directly selectable smart TV apps.Connectivity:
        Compatible with Xbox and PlayStation and PC and and laptops.
        Ports: 1x HDMI and 1x USB-C and 1x USB-A.
        Connectivity: WLAN and Bluetooth.
        Includes a SolarCell remote control and webcam.Advanced Display Features:
        HDR10+ support for deeper blacks and enhanced brightness to reveal all details.
        Eye Saver Mode to reduce blue light emissions.
        Flicker-Free Technology to eliminate screen flickering.
Warranty 3-Year","https://www.sigma-computer.com/item?id=7529&name=Samsung_M80D_LS32DM801UUXEN_Smart_Monitor,_32_Inch,_4K_AI_Upscaling,_UHD,_60_Hz,_360_Audio_Mode,_Includes_Webcam,_Screen_with_Speakers_and_Height_Adjustment,_Smart_TV_Apps_with_Remote_Control"
"HP Victus 16-r0029nia and Intel Core i5-13500H and RAM 16GB and 512GB SSD and NVIDIA RTX 3050 6GB and 16.1 FHD IPS 144Hz and Performance blue","38999","40999","Out Of Stock","no warranty","Processor (CPU):Intel® Core™ i5-13500H
Up to 4.7 GHz with Intel® Turbo Boost Technology
18 MB L3 cache
12 cores and 16 threadsIntel® Core™ i5-13500HUp to 4.7 GHz with Intel® Turbo Boost Technology18 MB L3 cache12 cores and 16 threadsMemory (RAM):16 GB DDR5-5200 MT/s (2 x 8 GB)
Transfer rates up to 5200 MT/s16 GB DDR5-5200 MT/s (2 x 8 GB)Transfer rates up to 5200 MT/sStorage:512 GB PCIe® Gen4 NVMe™ M.2 SSD512 GB PCIe® Gen4 NVMe™ M.2 SSDGraphics (GPU):NVIDIA® GeForce RTX™ 3050 Laptop GPU
6 GB GDDR6 dedicated memoryNVIDIA® GeForce RTX™ 3050 Laptop GPU6 GB GDDR6 dedicated memoryDisplay:16.1" diagonal (40.9 cm)
FHD (1920 x 1080) resolution
144 Hz refresh rate
IPS panel and micro-edge and anti-glare
250 nits brightness and 45% NTSC color gamut16.1" diagonal (40.9 cm)FHD (1920 x 1080) resolution144 Hz refresh rateIPS panel and micro-edge and anti-glare250 nits brightness and 45% NTSC color gamutCamera:HP True Vision 1080p FHD camera
Temporal noise reduction
Dual-array digital microphonesHP True Vision 1080p FHD cameraTemporal noise reductionDual-array digital microphonesColor:Performance Blue with a chrome logoPerformance Blue with a chrome logoKeyboard:Arabic & English layoutArabic & English layoutOperating System (OS):Without OSWithout OSAccessories:NoneNone","https://www.sigma-computer.com/item?id=7525&name=HP_Victus_16-r0029nia,_Intel_Core_i5-13500H,_RAM_16GB,_512GB_SSD,_NVIDIA_RTX_3050_6GB,_16.1_FHD_IPS_144Hz,_Performance_blue"
"MSI B13VE i7-13620H(10C/16T) RAM 16G DDR4 3200Hz (2*8)-SSD 512G Gen4 RTX4050 6G 15.6-FHD-IPS-144Hz Blue Backlit-Arabic-1.86 kg-2Year Warranty","44999","44999","Out Of Stock","no warranty","Processor: Intel Core i7-13620H (10 Cores and 16 Threads)RAM: 16GB DDR4 3200MHz (2x8GB)Storage: 512GB SSD (Gen4) + 2.5" HDD/SSD slotGraphics Card: NVIDIA GeForce RTX 4050 and 6GB GDDR6 (45W TGP)Display: 15.6" FHD (1920x1080) and IPS and 144HzKeyboard: Blue Backlit and Arabic layoutWeight: 1.86 kgWarranty: 2 YearsModel Code: THIN15B13VE-9S7-16R831-2614","https://www.sigma-computer.com/item?id=7508&name=MSI_B13VE_i7-13620H(10C/16T)_RAM_16G_DDR4_3200Hz_(2*8)-SSD_512G_Gen4_RTX4050_6G_15.6-FHD-IPS-144Hz_Blue_Backlit-Arabic-1.86_kg-2Year_Warranty"
"MSI Thin 15 B12UCX i5 12450H RTX2050 RAM 8G DDR4 3200Hz SSD 512G 15.6-FHD-IPS-144Hz Blue Backlit-Arabic 1.86 kg-2 Year warranty","27999","28999","In Stock","ضمـــــــان سنتـــــين وكــــــيل","Processor: Intel Core i5-12450H (12th Gen)Graphics: NVIDIA GeForce RTX 2050 and excellent for gaming and creative work.Memory: 8GB DDR4 (3200MHz) – expandable for multitasking needs.Storage: 512GB SSD – fast boot times and ample storage.Display: 15.6" FHD IPS and 144Hz – smooth visuals and vibrant colors.Keyboard: Blue backlit and Arabic support – perfect for night use and regional preferences.Weight: 1.86 kg – lightweight for its power.Warranty: 2 years for peace of mind.","https://www.sigma-computer.com/item?id=7506&name=MSI_Thin_15_B12UCX_i5_12450H_RTX2050_RAM_8G_DDR4_3200Hz_SSD_512G_15.6-FHD-IPS-144Hz_Blue_Backlit-Arabic_1.86_kg-2_Year_warranty"
