laptopname,amazonprice in (LE),specs,ratingnumber,deliverytype,amazongetlink,amazon_rating_link
"HP Laptop CPU: Ryzen 3 7320U 4GB LPDDR5 on board Screen: 14.0 HD Anti-Glare SVA 250 LEDs Narrow Bezel Ultra Slim 256GB Windows 11 14 em0005ne","18099.0"," Brand Name:HP
 Model Name:14-em0005ne
 Screen Size:15.6 Inches
 Color:Black
 Hard Disk Size:256 GB
 CPU Model:Ryzen 3
 RAM Memory Installed:8 GB
 Operating System:Windows 10
 Special Features:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/HP-Laptop-CPU-Anti-Glare-em0005ne/dp/B0BVWG4XHZ","https://www.amazon.eg//-/en/HP-Laptop-CPU-Anti-Glare-em0005ne/dp/B0BVWG4XHZ#customerReviews"
"Lenovo IdeaPad Gaming 3 15IAH7 Laptop - 12th iCore i7-12650H and 16GB RAM and 512GB SSD and NVIDIA GeForce RTX 3060 6GB GDDR6 Graphics and 15.6" FHD (1920x1080) IPS 165Hz and Backlit and Dos - Onyx Grey","40999.0"," Brand Name:Lenovo
 Model Name:Lenovo IdeaPad Gaming 3 15IAH7
 Screen Size:15.6 Inches
 Color:Onyx Grey
 Hard Disk Size:512 GB
 CPU Model:Core i7-12650H
 RAM Memory Installed:16 GB
 Operating System:DOS
 Special Features:Dedicated
","19","FREE delivery","https://www.amazon.eg//-/en/Lenovo-IdeaPad-Gaming-15IAH7-Laptop/dp/B0CN5M3BDL","https://www.amazon.eg//-/en/Lenovo-IdeaPad-Gaming-15IAH7-Laptop/dp/B0CN5M3BDL#customerReviews"
"HP 15-GW Laptop - Ryzen 3 3250U 2-Cores and 8 GB RAM and 1 TB HDD and AMD Radeon Graphics and 15.6" HD (1366 x 768) micro-edge anti-glare 220 nits and Dos - Black","16499.0","","29","FREE delivery","https://www.amazon.eg//-/en/HP-15-GW-Laptop-micro-edge-anti-glare/dp/B0C58CLRTL","https://www.amazon.eg//-/en/HP-15-GW-Laptop-micro-edge-anti-glare/dp/B0C58CLRTL#customerReviews"
"ASUS Vivobook 15 X1504VA-NJ005 Laptop - Intel Core i5-1335U - 8GB - 512GB SSD - Intel UHD Integrated Graphics - 15.6" FHD - Quiet Blue","21790.0"," Brand Name:ASUS
 Model Name:ASUS Vivobook 15
 Screen Size:15.6 Inches
 Color:Blue
 Hard Disk Size:512 GB
 CPU Model:Intel Core i5
 RAM Memory Installed:8 GB
 Operating System:DOS
 Graphics Description:Integrated
 Graphics Coprocessor:Intel UHD Graphics
","19","FREE delivery","https://www.amazon.eg//-/en/ASUS-Vivobook-X1504VA-NJ005-Laptop-Integrated/dp/B0DM1T4RJG","https://www.amazon.eg//-/en/ASUS-Vivobook-X1504VA-NJ005-Laptop-Integrated/dp/B0DM1T4RJG#customerReviews"
"HP Victus 15-fb0049ne Gaming Laptop - Ryzen 5-5600H 6-Cores and 8 GB RAM and 512GB SSD and 15.6" FHD (1920X1080) 144 Hz IPS and AMD Radeon RX 6500M 4GB GDDR6 Graphics and Backlit Keyboard - Mica Silver","28729.0"," Brand Name:HP
 Model Name:Victus Gaming Laptop
 Screen Size:15.6 Inches
 Color:Mica Silver
 Hard Disk Size:512 GB
 CPU Model:Ryzen 5 5600H
 RAM Memory Installed:8 GB
 Operating System:DOS
 Special Features:Dedicated
","19","FREE delivery","https://www.amazon.eg//-/en/HP-Victus-15-fb0049ne-Gaming-Laptop/dp/B0CP8WPPGT","https://www.amazon.eg//-/en/HP-Victus-15-fb0049ne-Gaming-Laptop/dp/B0CP8WPPGT#customerReviews"
"Dell Inspiron 3520 Laptop - 12th Intel Core i3-1215U 6-Cores and 8GB RAM and 256GB SSD and Intel UHD Graphics and 15.6" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare and Windows 11 - Carbon Black","17329.0"," Brand Name:Dell
 Model Name:Inspiron 3520
 Screen Size:15.6 Inches
 Color:Carbon Black
 Hard Disk Size:256 GB
 CPU Model:Core i3-1215U
 RAM Memory Installed:8 GB
 Operating System:Windows 11 Home
 Special Features:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/Dell-Inspiron-3520-Laptop-Anti-Glare/dp/B0CR8NJXG6","https://www.amazon.eg//-/en/Dell-Inspiron-3520-Laptop-Anti-Glare/dp/B0CR8NJXG6#customerReviews"
"Dell Vostro 3520 Laptop - 12th Intel Core i5-1235U 10-Cores and 16GB RAM and 512GB SSD and Intel UHD Graphics and 15.6" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare and FingerPrint and Ubuntu - Carbon Black","22269.0"," Brand Name:Dell
 Model Name:Vostro 3520
 Screen Size:15.6 Inches
 Color:Carbon Black
 Hard Disk Size:512 GB
 CPU Model:Core i5-1235U
 RAM Memory Installed:16 GB
 Operating System:Ubuntu
 Special Features:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/Dell-Vostro-3520-Laptop-FingerPrint/dp/B0CQFCC4RF","https://www.amazon.eg//-/en/Dell-Vostro-3520-Laptop-FingerPrint/dp/B0CQFCC4RF#customerReviews"
"Acer Aspire 7|Ryzen 5 5625U|512GB PCIe NVMe SSD|8GB RAM DDR4 3200Mhz|NVIDIA RTX 3050 VRAM GDDR6 4GB|15.6" FHD 60Hz IPS SlimBezel|Backlit Arabic Keyboard|FingerPrint TouchPad|DOS|1 Year Local Warranty","26999.0"," Brand Name:Acer
 Model Name:ACER -A715-43G-R380
 Screen Size:15.6 Inches
 Color:Black
 Hard Disk Size:512 GB
 CPU Model:AMD Ryzen 5 5500U
 RAM Memory Installed:8 GB
 Operating System:DOS
 Special Features:Backlit Keyboard
 Graphics Description:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/Acer-SlimBezel-Keyboard-FingerPrint-TouchPad/dp/B0BRNRNXWW","https://www.amazon.eg//-/en/Acer-SlimBezel-Keyboard-FingerPrint-TouchPad/dp/B0BRNRNXWW#customerReviews"
"DELL Vostro 3520 Laptop - 12th Intel core i7-1255U 10 Cores and 16GB RAM and 512 GB SSD PCIe NVMe and Intel Iris Xe Graphics and 15.6" FHD (1920x1080) 250 nits WVA Anti- Glare and UBUNTU - Carbon Black","28839.0","","19","FREE delivery","https://www.amazon.eg//-/en/DELL-Vostro-3520-Laptop-1920x1080/dp/B0C3TQNX18","https://www.amazon.eg//-/en/DELL-Vostro-3520-Laptop-1920x1080/dp/B0C3TQNX18#customerReviews"
"ASUS Vivobook 15-X1504VA-NJ005W- i5-1335U-DDR4 8GB-512GB M.2 NVMe -Intel Iris X Graphics - 15.6-inch FHD (1920 x 1080) -Win11","23900.0"," Brand Name:ASUS
 Model Name:X1504VA-NJ005W
 Screen Size:15.6 Inches
 Color:Quiet Blue
 Hard Disk Size:512 GB
 CPU Model:Core i5-2310
 RAM Memory Installed:8 GB
 Operating System:Windows 11 Home
 Special Features:Quiet
 Graphics Description:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/ASUS-Vivobook-15-X1504VA-NJ005W-i5-1335U-DDR4-8GB-512GB/dp/B0CN52DP3D","https://www.amazon.eg//-/en/ASUS-Vivobook-15-X1504VA-NJ005W-i5-1335U-DDR4-8GB-512GB/dp/B0CN52DP3D#customerReviews"
