Country,Code,Region
Syrian Arab Republic,EMR,Eastern Mediterranean
Turks and Caicos Islands,AMR,Americas
Chad,AFR,Africa
Togo,AFR,Africa
Thailand,SEAR,South-East Asia
Tajikistan,EUR,Europe
Tokelau,WPR,Western Pacific
Turkmenistan,EUR,Europe
Timor-Leste,SEAR,South-East Asia
Tonga,WPR,Western Pacific
Trinidad and Tobago,AMR,Americas
Tunisia,EMR,Eastern Mediterranean
Türkiye,EUR,Europe
Tuvalu,WPR,Western Pacific
United Republic of Tanzania,AFR,Africa
Uganda,AFR,Africa
Ukraine,EUR,Europe
Uruguay,AMR,Americas
United States of America,AMR,Americas
Uzbekistan,EUR,Europe
Saint Vincent and the Grenadines,AMR,Americas
Venezuela (Bolivarian Republic of),AMR,Americas
British Virgin Islands,AMR,Americas
Virgin Islands (USA),AMR,Americas
Viet Nam,WPR,Western Pacific
Vanuatu,WPR,Western Pacific
Wallis and Futuna Islands,WPR,Western Pacific
Samoa,WPR,Western Pacific
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),None,None
Yemen,EMR,Eastern Mediterranean
South Africa,AFR,Africa
Zambia,AFR,Africa
Zimbabwe,AFR,Africa
